Node	PageRank
0	0.000124795
1	0.00011692
2	0.000107575
3	0.000117126
4	0.000132086
5	0.000147004
6	9.36527e-05
7	0.000113706
8	0.000112122
9	0.00012393
10	0.00010951
11	7.94967e-05
12	9.91533e-05
13	6.84242e-05
14	0.000103108
15	0.000108009
16	0.000107275
17	0.000102278
18	8.81183e-05
19	0.000100808
20	0.000111069
21	0.000111212
22	0.00012782
23	9.5269e-05
24	0.000104028
25	0.000125423
26	9.18479e-05
27	9.4736e-05
28	0.000118791
29	0.000112975
30	9.76176e-05
31	0.000124915
32	2.49313e-05
33	0.000151108
34	0.00010422
35	0.000103138
36	0.000132804
37	0.000105282
38	6.91897e-05
39	0.000120896
40	0.000117332
41	0.000105197
42	0.000121932
43	0.000137344
44	7.74708e-05
45	8.34599e-05
46	2.49313e-05
47	0.000130196
48	2.49313e-05
49	9.57372e-05
50	0.000114338
51	0.000131988
52	0.000132124
53	2.49313e-05
54	0.000113674
55	8.73381e-05
56	0.000120282
57	0.000111147
58	0.000127003
59	0.000104002
60	0.000123258
61	0.000109609
62	2.49313e-05
63	8.89383e-05
64	9.23786e-05
65	0.000118693
66	0.00010583
67	8.64521e-05
68	9.47644e-05
69	0.000133547
70	0.000157089
71	0.000125687
72	0.00014094
73	0.000122482
74	9.16261e-05
75	9.63607e-05
76	0.000121137
77	0.000123669
78	6.83052e-05
79	0.000128127
80	9.89724e-05
81	9.19484e-05
82	2.49313e-05
83	0.000112167
84	7.34734e-05
85	0.000149833
86	9.66202e-05
87	9.73122e-05
88	0.000119067
89	0.000123537
90	2.49313e-05
91	0.000103731
92	0.000108348
93	9.84178e-05
94	9.66045e-05
95	6.9348e-05
96	0.000121076
97	0.000109286
98	0.000104873
99	8.04831e-05
100	0.000120008
101	8.94944e-05
102	8.21021e-05
103	0.000118731
104	8.59432e-05
105	9.22182e-05
106	9.17119e-05
107	0.000112667
108	9.79639e-05
109	0.000122346
110	0.000123157
111	0.000129183
112	0.000133944
113	0.000143595
114	0.000114061
115	8.27833e-05
116	2.49313e-05
117	0.000108142
118	0.000106596
119	0.000141042
120	0.000105962
121	9.93516e-05
122	0.000103937
123	9.14712e-05
124	7.04719e-05
125	0.000103316
126	0.000150271
127	0.000105309
128	0.000116713
129	9.51139e-05
130	6.39114e-05
131	0.000100712
132	0.000106122
133	6.56843e-05
134	0.000112069
135	0.000102349
136	0.000105709
137	9.96058e-05
138	0.000102765
139	0.000122408
140	0.00010069
141	8.68088e-05
142	0.000128141
143	9.16912e-05
144	0.000108747
145	9.44948e-05
146	0.000111558
147	8.35658e-05
148	0.000140288
149	0.000120577
150	2.49313e-05
151	8.37828e-05
152	0.000105817
153	0.000106079
154	2.49313e-05
155	0.0001299
156	0.000116893
157	0.000116358
158	0.000105566
159	0.000125534
160	2.49313e-05
161	0.000107313
162	9.71791e-05
163	9.51801e-05
164	0.000124065
165	8.16174e-05
166	0.0001032
167	0.000117573
168	0.000112239
169	8.50495e-05
170	0.000112256
171	8.55688e-05
172	7.58899e-05
173	8.23989e-05
174	9.62603e-05
175	0.000149619
176	0.000101637
177	8.23298e-05
178	5.39527e-05
179	0.000110061
180	0.000114599
181	9.1518e-05
182	2.49313e-05
183	0.000120001
184	8.49468e-05
185	0.000103084
186	0.000125293
187	0.000125226
188	0.000128765
189	2.49313e-05
190	7.89619e-05
191	0.000104499
192	8.59707e-05
193	0.000128424
194	8.82606e-05
195	7.78597e-05
196	0.000129224
197	2.49313e-05
198	0.000106229
199	0.000106212
200	0.000158325
201	0.000119322
202	0.000115966
203	0.000110282
204	7.71614e-05
205	0.000115625
206	0.000129286
207	9.62699e-05
208	0.000122031
209	9.8877e-05
210	0.000109845
211	0.000118253
212	9.62166e-05
213	8.85204e-05
214	0.000117984
215	8.69297e-05
216	0.00010697
217	0.000124886
218	0.000119126
219	0.000105811
220	0.000102827
221	0.000114213
222	0.000131414
223	0.000128595
224	0.000113566
225	6.92698e-05
226	0.000155548
227	9.03147e-05
228	0.000121486
229	7.71132e-05
230	9.92641e-05
231	9.48701e-05
232	0.000117833
233	0.000119884
234	0.000122108
235	9.33037e-05
236	6.93722e-05
237	0.000102223
238	0.000108599
239	2.49313e-05
240	8.08854e-05
241	0.000111573
242	7.78931e-05
243	0.000107254
244	8.75446e-05
245	8.87155e-05
246	0.000120924
247	8.65711e-05
248	0.00016257
249	9.47137e-05
250	8.93992e-05
251	9.20055e-05
252	9.79395e-05
253	9.10443e-05
254	7.86453e-05
255	0.000119287
256	0.000115195
257	0.0001668
258	0.000115235
259	0.000104136
260	0.00011311
261	9.25354e-05
262	0.000136352
263	0.000113159
264	0.000107447
265	0.000105611
266	0.000108891
267	0.000120096
268	9.37952e-05
269	9.80328e-05
270	4.56436e-05
271	0.000113612
272	8.2026e-05
273	7.41076e-05
274	0.000135266
275	9.18564e-05
276	0.000104653
277	8.65536e-05
278	9.82466e-05
279	0.000128074
280	0.00011182
281	9.36088e-05
282	0.000105248
283	7.30702e-05
284	0.00011909
285	9.41677e-05
286	0.000195649
287	8.24978e-05
288	8.38826e-05
289	0.000110127
290	8.37857e-05
291	8.64956e-05
292	6.32537e-05
293	0.000116762
294	0.000114317
295	0.000122064
296	0.00012402
297	0.000100072
298	9.69687e-05
299	9.97192e-05
300	8.86217e-05
301	7.88623e-05
302	9.37596e-05
303	9.94351e-05
304	0.00011075
305	0.00011796
306	0.000119494
307	9.07171e-05
308	0.000106869
309	8.29879e-05
310	0.000126431
311	0.000111333
312	0.000107365
313	9.09101e-05
314	0.000102645
315	9.42709e-05
316	0.000111494
317	9.60848e-05
318	8.04166e-05
319	8.58712e-05
320	8.42379e-05
321	9.88693e-05
322	0.00010379
323	0.000134581
324	0.000112648
325	0.000113946
326	6.41604e-05
327	8.14119e-05
328	0.000143509
329	0.00011048
330	2.49313e-05
331	8.48204e-05
332	2.49313e-05
333	0.000111191
334	9.12778e-05
335	0.000133931
336	9.4467e-05
337	5.6832e-05
338	0.00010509
339	9.79107e-05
340	0.000123816
341	0.000121733
342	6.37568e-05
343	9.21569e-05
344	9.78364e-05
345	0.000123757
346	9.97552e-05
347	0.000110526
348	0.000156792
349	8.68051e-05
350	0.000112222
351	0.000125017
352	4.61638e-05
353	7.59881e-05
354	2.49313e-05
355	2.49313e-05
356	0.000107135
357	8.22078e-05
358	0.000138108
359	0.000113741
360	9.80267e-05
361	0.000139302
362	7.10471e-05
363	6.9127e-05
364	9.4261e-05
